other,pop,rock,electronic,hip hop,r&b,indie,country and folk,metal,classical,jazz
quiet storm,post-teen pop,latin alternative,uk dance,rap,funk carioca,britpop,cantautor,funk metal,classical,vocal jazz
christian music,pop,mexican rock,brostep,conscious hip hop,indie r&b,indiecoustica,country,rap metal,classical,blues & jazz
pagode,dance pop,modern country rock,trap francais,emo rap,funk,garage rock,grupera,nu metal,opera,jazz
ccm,australian pop,rock en espanol,chillwave,hip hop,funk ostentacao,folk-pop,cumbia,alternative metal,classical,
otacore,viral pop,latin rock,electronic,alternative hip hop,motown,dream pop,new americana,glam metal,,
big room,electropop,new romantic,electro house,rap conscient,anthem worship,indie folk,country rock,metal,,
opm,boy band,brazilian rock,deep tropical house,dutch hip hop,worship,indie anthem-folk,outlaw country,groove metal,,
tropical,uk pop,dance rock,trap latino,dirty south rap,g funk,chamber pop,folk,metalcore,,
mellow gold,pop rock,dance-punk,vapor trap,cali rap,blues-rock,folk rock,traditional country,speed metal,,
nova mpb,girl group,argentine rock,deep big room,french hip hop,classic soul,freak folk,country,melodic metalcore,,
stomp and holler,pop punk,modern rock,progressive electro house,brazilian hip hop,soul,alternative,folk,metal,,
world worship,mexican pop,modern alternative rock,reggaeton,gangster rap,r&b,indie,country,,,
banda,k-pop,christian alternative rock,progressive house,hardcore hip hop,blues,alternative,folk,,,
regional mexican,europop,turkish rock,reggaeton flow,east coast hip hop,r&b,,,,,
mpb,latin arena pop,heartland rock,house,latin hip hop,,,,,,
norteno,german pop,soft rock,brazilian electronica,west coast rap,,,,,,
ranchera,pop nacional,indie rock,deep house,chillhop,,,,,,
singer-songwriter,swedish pop,glam rock,lo-fi beats,hip hop / rap,,,,,,
hollywood,italian arena pop,rock,edm / electronic,hip-hop/rap,,,,,,
show tunes,spanish pop,yacht rock,dance/electronic,,,,,,,
adult standards,j-pop,rap rock,,,,,,,,
christmas,indonesian pop,post-grunge,,,,,,,,
lounge,new wave pop,album rock,,,,,,,,
scorecore,shimmer pop,alternative rock,,,,,,,,
hoerspiel,latin pop,art rock,,,,,,,,
soundtrack,turkish pop,southern rock,,,,,,,,
sleep,dutch pop,classic rock,,,,,,,,
focus,colombian pop,emo,,,,,,,,
other,new wave,roots rock,,,,,,,,
cultural,sertanejo pop,psychedelic rock,,,,,,,,
reggae,canadian pop,hard rock,,,,,,,,
latin,norwegian pop,punk,,,,,,,,
religious/spiritual,baile pop,grunge,,,,,,,,
undefined,italian pop,screamo,,,,,,,,
world,piano rock,rock,,,,,,,,
reggae,art pop,metal,,,,,,,,
comedy,acoustic pop,rock,,,,,,,,
music,british invasion,,,,,,,,,
fairs & festivals,regional mexican pop,,,,,,,,,
latin,rock-and-roll,,,,,,,,,
variety,brill building pop,,,,,,,,,
miscellaneous theatre,pop,,,,,,,,,
children's music,top 40,,,,,,,,,
fashion,pop,,,,,,,,,
spectacular,,,,,,,,,,
family,,,,,,,,,,
circus & specialty acts,,,,,,,,,,
rodeo,,,,,,,,,,
action/adventure,,,,,,,,,,
new age,,,,,,,,,,
